Phone Number,Voice Expenses ($),SMS Expenses ($),Total Expenses ($),Call Count,SMS Count,Total Count
+19793786423,-0.1785000000000001,-0.7821000000000009,-0.960600000000001,21,89,110
+19792715173,-0.3910000000000003,-1.2087000000000017,-1.599700000000002,46,133,179
+15128776281,-1.2069999999999965,-3.2547999999999813,-4.461799999999978,143,370,513
+19793785268,-0.034,-0.0316,-0.0656,4,4,8
+14322957542,0,0,0,0,0,0
+19792697278,-0.23800000000000016,-0.3871000000000001,-0.6251000000000002,28,46,74
+15128874239,-0.5695000000000001,-0.0711,-0.6406000000000001,56,4,60
+13342491705,0,0,0,0,0,0
+18174978933,-0.6969999999999997,-1.256100000000002,-1.9531000000000018,60,140,200
+13465455426,-1.155999999999998,-2.417399999999996,-3.573399999999994,101,270,371
+15128865543,0,0,0,0,0,0
+15122772144,-1.5024999999999968,-3.6655999999999733,-5.168099999999971,149,407,556
+15127689931,-0.059500000000000004,-0.22909999999999997,-0.28859999999999997,6,24,30
+14092350604,-0.34000000000000025,-0.3950000000000002,-0.7350000000000004,40,48,88
+15128595858,-0.5270000000000002,-1.0981000000000016,-1.625100000000002,62,129,191
+15129301140,-0.47600000000000037,0,-0.47600000000000037,58,0,58
+15129915552,0,0,0,0,0,0
+15128820533,-0.025500000000000002,-0.04740000000000001,-0.07290000000000002,3,5,8
+13463697674,-0.2805000000000002,-0.39500000000000024,-0.6755000000000004,33,47,80
+19016739394,-0.017,-0.1896,-0.2066,2,22,24
+13526413830,0,0,0,0,0,0
+15128866684,-1.4429999999999992,-2.3778999999999972,-3.8208999999999964,115,245,360
+19362650629,-0.4845000000000004,-1.4241000000000021,-1.9086000000000025,57,157,214
+15126485749,-0.22950000000000015,-1.1060000000000016,-1.335500000000002,30,125,155
+19792435125,-0.33150000000000024,-0.7663000000000008,-1.097800000000001,40,82,122
